"Theta [deg]","dB(GainX) [] - Freq='8.75GHz' Phi='0deg'","dB(GainY) [] - Freq='8.75GHz' Phi='0deg'"
-66,-23.033305530436,-43.0412047071068
-65,-19.3650850888363,-43.16907161513
-64,-16.4457682151237,-43.1833005519408
-63,-14.0721561930466,-43.0550700526582
-62,-12.0995742813367,-42.8398821126483
-61,-10.4247028207563,-42.6310013829778
-60,-8.97505308104294,-42.5078091461469
-59,-7.70686554411994,-42.5174241855187
-58,-6.60150070496136,-42.6795513036102
-57,-5.65700951186647,-42.9938983754742
-56,-4.87801304479203,-43.4414008212962
-55,-4.26847027397581,-43.9845908374787
-54,-3.82942755300725,-44.5821552763639
-53,-3.56111648771239,-45.2266776399262
-52,-3.46747997398932,-45.9849631383076
-51,-3.56099785145445,-47.0026467639594
-50,-3.86598682543513,-48.4646648118164
-49,-4.41882064384498,-50.4967366815436
-48,-5.26183602239404,-52.7505941540032
-47,-6.41743881059302,-53.4020196129636
-46,-7.79099838880802,-51.4726586555766
-45,-8.8940957578573,-48.9740516874559
-44,-8.71529095305551,-46.8457903734291
-43,-7.001029545077,-45.0898130703229
-42,-4.72016995224651,-43.5840818225589
-41,-2.56064707222881,-42.262753066754
-40,-0.71143723698446,-41.118043603751
-39,0.813725401436928,-40.1646974386817
-38,2.0358893783199,-39.4118307328655
-37,2.97452696184373,-38.8521722314162
-36,3.64053794351359,-38.4624844549185
-35,4.03570546075269,-38.2078279716257
-34,4.15270152527754,-38.0460213449895
-33,3.97461676499603,-37.9316301909021
-32,3.47540052251858,-37.8204938510194
-31,2.62766561623397,-37.6760413697985
-30,1.44296565138552,-37.4768385587848
-29,0.128245883877284,-37.2219508551059
-28,-0.561766314644449,-36.9303200091622
-27,0.360728218168983,-36.6341529068574
-26,2.51116857230548,-36.3704882003096
-25,4.8450160848081,-36.175265120648
-24,6.90612250709081,-36.0813104144207
-23,8.61197374160641,-36.1192290745232
-22,9.98070746150084,-36.3196757476894
-21,11.0448938852652,-36.7161927603141
-20,11.8320365905415,-37.3488016619543
-19,12.3623985096421,-38.2695712120106
-18,12.6515552468804,-39.5529909677676
-17,12.7157541344225,-41.3181202083994
-16,12.5820045197186,-43.7835826472431
-15,12.3072398961594,-47.4392813561267
-14,12.0094656660477,-53.865783243013
-13,11.8933393161017,-69.3534984629464
-12,12.2006176001288,-53.4076583911255
-11,13.0401251637884,-48.2889748208745
-10,14.2829176910678,-45.5578813513382
-9,15.6909363129719,-43.9159923682701
-8,17.0771299013372,-42.9265573031748
-7,18.3412160565047,-42.3783792854152
-6,19.4413953187942,-42.1384126960722
-5,20.3651676875938,-42.1011644404199
-4,21.1124846483965,-42.1711737210614
-3,21.687629992703,-42.2662667028569
-2,22.0955921767832,-42.3360662875159
-1,22.3405147772184,-42.3811641144034
0,22.4250650167968,-42.4545498529455
1,22.3501973512264,-42.6435374972668
2,22.1150929182251,-43.0484807246949
3,21.7172129114172,-43.7703311361252
4,21.1525193652999,-44.8977745935261
5,20.4160681486076,-46.4374075399146
6,19.5034669644162,-47.9830135828303
7,18.4142941104138,-48.141032933944
8,17.1597696039801,-46.1905953929284
9,15.7787749741496,-43.577558462483
10,14.3661147397358,-41.2550424313648
11,13.1020531913624,-39.3926421647158
12,12.2242759029249,-37.9570583279871
13,11.8756300801186,-36.8937018470076
14,11.9640716969614,-36.1599274130077
15,12.2515026323265,-35.7277861038533
16,12.5277160828187,-35.5820757831359
17,12.6688755087026,-35.7186995393066
18,12.6145634356457,-36.1442669775637
19,12.3360702848228,-36.8772568792834
20,11.8163727826943,-37.9511594187754
21,11.039485368873,-39.4198892110203
22,9.98472783259141,-41.3626652417995
23,8.62374114833472,-43.8621013178574
24,6.92174949576298,-46.7779233176365
25,4.85465678209341,-48.7113100309475
26,2.48977688023705,-47.5979933227342
27,0.259639966425114,-45.1784590773515
28,-0.758122349402643,-43.1014948732375
29,-0.0802664294236505,-41.5886366244126
30,1.27653855831536,-40.5656040061376
31,2.5043190727278,-39.9484772584454
32,3.38535590348968,-39.6713011017095
33,3.90994182968031,-39.6776409664762
34,4.10817722209205,-39.9116652474169
35,4.00804707045034,-40.3153366304694
36,3.62777665831568,-40.8337969094979
37,2.97570464317347,-41.425968605519
38,2.05103726181571,-42.0694860311583
39,0.844193148765644,-42.7476853281694
40,-0.661989363681081,-43.4198886264785
41,-2.48377151984648,-43.999068706481
42,-4.59723505732028,-44.3773059012764
43,-6.79732832042644,-44.5081056083174
44,-8.40686876126082,-44.461764157876
45,-8.54789858615451,-44.3747112253967
46,-7.48993862885239,-44.3556001686406
47,-6.16835409699516,-44.4329650696689
48,-5.04575371830752,-44.5471810109652
49,-4.21942076196364,-44.5767895920186
50,-3.67253720113687,-44.4145990567641
51,-3.36701200443954,-44.0628372621021
52,-3.26926455640432,-43.6426885013095
53,-3.35634226434622,-43.3015180640865
54,-3.61574020913682,-43.1217685731489
55,-4.04246096067235,-43.0860547281093
56,-4.63488471896128,-43.0933288430548
57,-5.3909854939362,-43.0323233049564
58,-6.30661806788946,-42.8833012529136
59,-7.37744968661776,-42.7398563648364
60,-8.60505073917336,-42.7189962521686
61,-10.0053762565208,-42.8661601262982
62,-11.6157304170412,-43.1300589812464
63,-13.4972866353104,-43.4146835867665
64,-15.7352883744114,-43.6814531621255
65,-18.4443828801265,-44.0036352795316
66,-21.7801475757518,-44.4992158090108
67,-25.8413657122899,-45.2110319196702
68,-29.387072102944,-46.0293881390529
69,-28.5127666884957,-46.7328468744906
70,-25.6737811430063,-47.2096293551289
71,-23.4723100751228,-47.6283676668942
72,-22.0061510029816,-48.273128735804
73,-21.0782175175627,-49.2910908800445
74,-20.5174158175251,-50.5681593305603
75,-20.2003534775407,-51.7415116865899
76,-20.0622487803719,-52.5589254697437
77,-20.0926212193291,-53.305915831665
78,-20.3053078752705,-54.5256311936895
79,-20.7033224582684,-56.5181551382911
80,-21.2653873863569,-58.7528983329637
81,-21.9629393213343,-59.2281755218283
82,-22.7927285676869,-57.972083313602
83,-23.7938049125294,-57.0983915024772
84,-25.0327182193174,-57.3634638709032
85,-26.5795046391738,-58.8986510334295
86,-28.5151416203667,-61.7040141000124
87,-31.0054513168093,-65.1472614781618
88,-34.5007536771089,-66.9629951021174
89,-40.5062610738851,-67.4677708056457
90,-300.788127369151,-69.8486143196167
91,-40.6372786247651,-75.8176136628325
92,-34.7300266550556,-70.6580194587667
93,-31.2885961218424,-65.2511555374622
94,-28.827745187493,-63.1165792615032
95,-26.932216400345,-63.2791406856899
96,-25.4540040370117,-65.0199258194864
97,-24.2948520018551,-64.2099703827235
98,-23.3397580813532,-60.034071367937
99,-22.4799984912525,-56.8568163919324
100,-21.6732074860657,-55.1399928182685
101,-20.9581570618248,-54.5285399057749
102,-20.3950778756293,-54.4196079266353
103,-19.9945964182427,-53.8516394399678
104,-19.697615697879,-52.4053669994113
105,-19.4222633770447,-50.7608224785596
106,-19.1452501419509,-49.4968786776883
