"Theta [deg]","dB(GainX) [] - Freq='8.75GHz' Phi='0deg'","dB(GainX) [] - Freq='8.75GHz' Phi='90deg'"
-37,2.97452696184373,-8.76801758378132
-36,3.64053794351359,-7.45352584956446
-35,4.03570546075269,-6.19155818550304
-34,4.15270152527754,-5.05950982031852
-33,3.97461676499603,-4.08890190826124
-32,3.47540052251858,-3.28129521607804
-31,2.62766561623397,-2.61576803976982
-30,1.44296565138552,-2.04957422462734
-29,0.128245883877284,-1.51675412574148
-28,-0.561766314644449,-0.932677651219935
-27,0.360728218168983,-0.213848286728587
-26,2.51116857230548,0.688345508410844
-25,4.8450160848081,1.76315817569254
-24,6.90612250709081,2.94947466377987
-23,8.61197374160641,4.16922375613222
-22,9.98070746150084,5.35639623671114
-21,11.0448938852652,6.46870030188454
-20,11.8320365905415,7.48724123726877
-19,12.3623985096421,8.41250056918632
-18,12.6515552468804,9.26063388257741
-17,12.7157541344225,10.0603931734601
-16,12.5820045197186,10.84910823549
-15,12.3072398961594,11.6658735001218
-14,12.0094656660477,12.5417511625332
-13,11.8933393161017,13.4901456347501
-12,12.2006176001288,14.5025961629732
-11,13.0401251637884,15.5526565135275
-10,14.2829176910678,16.6050522794883
-9,15.6909363129719,17.6246924588688
-8,17.0771299013372,18.5821259566873
-7,18.3412160565047,19.4552684110072
-6,19.4413953187942,20.2288278765029
-5,20.3651676875938,20.8928383314575
-4,21.1124846483965,21.4411292896627
-3,21.687629992703,21.8700659667929
-2,22.0955921767832,22.1776260400123
-1,22.3405147772184,22.3627732648233
0,22.4250650167968,22.4250650167968
1,22.3501973512264,22.3644406708193
2,22.1150929182251,22.1811575696109
3,21.7172129114172,21.8758627480898
4,21.1525193652999,21.4498094846802
5,20.4160681486076,20.9052476275374
6,19.5034669644162,20.2460330631706
7,18.4142941104138,19.478505867953
8,17.1597696039801,18.6126563139209
9,15.7787749741496,17.6634884103676
10,14.3661147397358,16.6522368849397
11,13.1020531913624,15.6066607264137
12,12.2242759029249,14.5591821941809
13,11.8756300801186,13.5417413051552
14,11.9640716969614,12.5777189007602
15,12.2515026323265,11.6739867099082
16,12.5277160828187,10.8176608660024
17,12.6688755087026,9.97986397680678
18,12.6145634356457,9.12429747298172
19,12.3360702848228,8.21628372114798
20,11.8163727826943,7.22962057910062
21,11.039485368873,6.1514338262026
22,9.98472783259141,4.98670099049127
23,8.62374114833472,3.7636333482429
24,6.92174949576298,2.53833933962147
25,4.85465678209341,1.39176120791015
26,2.48977688023705,0.407909409698477
27,0.259639966425114,-0.366501216006544
28,-0.758122349402643,-0.952871541039328
29,-0.0802664294236505,-1.43080051449207
30,1.27653855831536,-1.89887038871085
31,2.5043190727278,-2.4423236676359
32,3.38535590348968,-3.12199982494311
33,3.90994182968031,-3.97612336034023
34,4.10817722209205,-5.0238001645184
35,4.00804707045034,-6.26340375857874
36,3.62777665831568,-7.6609668464118
37,2.97570464317347,-9.12477180888239
38,2.05103726181571,-10.4757773858764
39,0.844193148765644,-11.4701496256261
40,-0.661989363681081,-11.9469243875049
41,-2.48377151984648,-11.9793645341327
42,-4.59723505732028,-11.7988866223793
43,-6.79732832042644,-11.6164824369049
44,-8.40686876126082,-11.5569989828785
45,-8.54789858615451,-11.6808757796304
46,-7.48993862885239,-12.0164538236107
47,-6.16835409699516,-12.578913767519
48,-5.04575371830752,-13.376934220022
49,-4.21942076196364,-14.4111858100104
50,-3.67253720113687,-15.6667027338945
51,-3.36701200443954,-17.0978671362033
52,-3.26926455640432,-18.6007140983207
53,-3.35634226434622,-19.9724437416703
54,-3.61574020913682,-20.9104436590242
55,-4.04246096067235,-21.1791474937907
56,-4.63488471896128,-20.853123816921
