Name,Value,Unit
Waveguide_a,22.86,mm
Waveguide_b,10.16,mm
Waveguide_length,30,mm
Taper_a,186.1,mm
Taper_b,147.5,mm
Taper_length,295.3,mm
Waveguide_thickness,1.5,mm
