Freq [GHz],dB(GainTotal) [] - Phi='0deg' Theta='0deg'
8.2,22.03728969
8.7,22.39556455
9.2,22.67660023
9.7,22.94810824
10.2,23.11264821
10.7,23.23040713
11.2,23.28843001
11.7,23.44012161
12.2,23.60724271
