Freq [GHz],dB(GainTotal) [] - Phi='0deg' Theta='0deg'
2,8.129646003
3,9.653444553
4,11.1772431
5,12.70104165
6,14.2248402
7,14.95079122
8,15.67674224
9,16.40269326
10,17.12864428
11,16.99746698
12,16.86628968
13,16.73511238
14,16.60393509
15,17.29804722
16,17.99215935
17,18.68627149
18,19.38038362
