"Theta [deg]","db(GainTotal) [] Phi='0deg'","db(GainTotal) [] - Phi='90deg'"
14,6.236237198,6.265112166
15,6.168886686,6.199471645
16,6.097139216,6.129469095
17,6.020996933,6.055130318
18,5.940456614,5.976481747
19,5.855513056,5.893548147
20,5.7661534,5.806352579
21,5.672362204,5.714917138
22,5.574116593,5.619260619
23,5.47138684,5.519400098
24,5.36413879,5.415348673
25,5.252329225,5.307116429
26,5.135907797,5.194708291
27,5.01481682,5.078126103
28,4.888993057,4.957365929
29,4.758363856,4.83241968
30,4.622850376,4.703272732
31,4.482369624,4.569906065
32,4.336829838,4.432295196
33,4.186139615,4.290409368
34,4.030199564,4.144211926
35,3.868913618,3.993661886
36,3.702184188,3.838713217
37,3.529917281,3.679316232
38,3.352024883,3.51541522
39,3.168428187,3.346953007
40,2.979059973,3.173870491
41,2.783920545,2.99615517
42,2.582889119,2.813660864
43,2.376005568,2.626366939
44,2.163297194,2.434216502
45,1.944830477,2.237159299
46,1.720714188,2.035149699
47,1.491108111,1.828152117
48,1.256228595,1.616139828
49,1.016358723,1.399099897
50,0.771850379,1.177034917
51,0.523137529,0.949963899
52,0.270737561,0.717926221
53,0.015258794,0.480984179
54,-0.242596304,0.239223011
55,-0.502029263,-0.007242537
56,-0.762149564,-0.258270078
57,-1.021976799,-0.513685316
58,-1.280454285,-0.773283674
59,-1.536462928,-1.03682468
60,-1.788845016,-1.304034862
61,-2.036394186,-1.574625345
62,-2.278026002,-1.848221796
63,-2.512621248,-2.124476165
64,-2.739191432,-2.402996667
65,-2.956892919,-2.683369528
66,-3.165068164,-2.965169788
67,-3.363280577,-3.247965185
68,-3.551100919,-3.531070305
69,-3.729093443,-3.814574222
70,-3.897373424,-4.097843368
71,-4.056568556,-4.380535005
72,-4.207557008,-4.662358783
73,-4.35144089,-4.943094335
74,-4.489509592,-5.222602401
75,-4.623199129,-5.500836702
76,-4.754049372,-5.777854229
77,-4.883660943,-6.053823774
78,-5.013656146,-6.329029556
79,-5.145645588,-6.603875089
80,-5.28119462,-6.878880492
81,-5.42180235,-7.154679903
82,-5.568880359,-7.432014173
83,-5.723736896,-7.711722716
84,-5.887565071,-7.994733515
85,-6.061432151,-8.28205021
86,-6.246271038,-8.574740007
87,-6.44286809,-8.873923417
88,-6.651854058,-9.18076017
89,-6.873685952,-9.496439599
90,-7.108403615,-9.822171915
91,-7.35651769,-10.15920066
92,-7.617588529,-10.50873154
93,-7.8911245,-10.87198512
94,-8.176297366,-11.25017293
95,-8.471884264,-11.64449401
96,-8.77620651,-12.05612807
97,-9.087063627,-12.48623118
98,-9.401671771,-12.93592768
99,-9.71661593,-13.40629862
100,-10.0278334,-13.89836971
101,-10.33064246,-14.41308594
102,-10.61984702,-14.9512816
103,-10.88992812,-15.51363449
104,-11.13533766,-16.10059906
105,-11.35088669,-16.71230958
106,-11.53219284,-17.34844049
107,-11.67612069,-18.00801192
108,-11.78114341,-18.68910776
109,-11.84754354,-19.38849304
110,-11.87741267,-20.10108874
111,-11.87444828,-20.81930195
112,-11.84359453,-21.53221902
113,-11.7904657,-22.22666145
114,-11.72147244,-22.87898333
115,-11.6425637,-23.46680915
116,-11.55953349,-23.9626994
117,-11.47769053,-24.33956712
118,-11.40176373,-24.57566997
119,-11.33587859,-24.65963163
120,-11.28372557,-24.5932091
121,-11.24805855,-24.39021183
122,-11.23157205,-24.07227004
123,-11.23644811,-23.66386977
124,-11.26455247,-23.18821498
125,-11.31749457,-22.66500619
126,-11.39667751,-22.10982135
127,-11.50333589,-21.5344575
128,-11.63855985,-20.94765889
129,-11.80330288,-20.35587891
130,-11.99837145,-19.7639296
131,-12.22438564,-19.17546385
132,-12.48171125,-18.59331839
133,-12.77034169,-18.01974187
134,-13.08971734,-17.45654172
135,-13.43845611,-16.90518201
136,-13.81396498,-16.36684594
137,-14.21189947,-15.84247752
138,-14.62544788,-15.33281585
139,-15.04445512,-14.83842023
140,-15.4544382,-14.36064517
141,-15.83606281,-13.89774233
142,-16.16514148,-13.45093778
143,-16.41428835,-13.0202692
144,-16.55672986,-12.605691
145,-16.57184373,-12.20708449
146,-16.45059896,-11.82427387
147,-16.19821857,-11.45703477
148,-15.83252397,-11.10510557
149,-15.37893879,-10.76819706
150,-14.86474625,-10.44599858
151,-14.31478548,-10.13818433
152,-13.74930021,-9.844418963
153,-13.18352225,-9.56436308
154,-12.62821931,-9.297676865
155,-12.09059983,-9.044023017
156,-11.57522011,-8.803069471
157,-11.0847463,-8.574490639
158,-10.62054525,-8.357971626
159,-10.18311178,-8.153207346
160,-9.772372878,-7.959905906
161,-9.387902043,-7.777786085
162,-9.029058882,-7.606581096
163,-8.695089396,-7.446039198
164,-8.385190295,-7.2959207
165,-8.098549464,-7.156001452
166,-7.834378593,-7.026072697
167,-7.591923833,-6.905937973
168,-7.370481634,-6.795418357
169,-7.169401745,-6.694345883
170,-6.988092519,-6.602570815
171,-6.826018801,-6.519953297
172,-6.68270473,-6.446371225
173,-6.557729904,-6.381712821
174,-6.450731363,-6.325882008
175,-6.361399126,-6.278795748
176,-6.289476741,-6.240383328
177,-6.234758545,-6.21058782
178,-6.197089682,-6.189363884
179,-6.176362848,-6.176681144
180,-6.172519106,-6.172519106
