"Theta [deg]","dB(GainX) [] - Phi='0deg'","dB(GainY) [] - Phi='0deg'"
10,-36.34358521,6.483524381
11,-35.57067592,6.435595218
12,-34.86064411,6.383200452
13,-34.2061889,6.326363863
14,-33.60096492,6.265112166
15,-33.03963226,6.199471645
16,-32.51768168,6.129469095
17,-32.03128455,6.055130318
18,-31.5771739,5.976481747
19,-31.1525417,5.893548147
20,-30.75496456,5.806352579
21,-30.38233367,5.714917138
22,-30.03280788,5.619260619
23,-29.70476724,5.519400098
24,-29.39678259,5.415348673
25,-29.10758481,5.307116429
26,-28.8360415,5.194708291
27,-28.58113836,5.078126103
28,-28.34196369,4.957365929
29,-28.11769278,4.83241968
30,-27.90757837,4.703272732
31,-27.710941,4.569906065
32,-27.52715806,4.432295196
33,-27.35566109,4.290409368
34,-27.19592571,4.144211926
35,-27.04746863,3.993661886
36,-26.90984176,3.838713217
37,-26.78262974,3.679316232
38,-26.66544465,3.51541522
39,-26.55792436,3.346953007
40,-26.4597274,3.173870491
41,-26.37053405,2.99615517
42,-26.29004084,2.813660864
43,-26.21795962,2.626366939
44,-26.15401556,2.434216502
45,-26.09794592,2.237159299
46,-26.04949775,2.035149699
47,-26.00842638,1.828152117
48,-25.9744942,1.616139828
49,-25.94746971,1.399099897
50,-25.92712518,1.177034917
51,-25.91324655,0.949963899
52,-25.90558192,0.717926221
53,-25.90393084,0.480984179
54,-25.90807352,0.239223011
55,-25.91778896,-0.007242537
56,-25.93285748,-0.258270078
57,-25.95305678,-0.513685316
58,-25.97816457,-0.773283674
59,-26.00795478,-1.03682468
60,-26.04220383,-1.304034862
61,-26.08068425,-1.574625345
62,-26.12316899,-1.848221796
63,-26.16943322,-2.124476165
64,-26.21925054,-2.402996667
65,-26.27239942,-2.683369528
66,-26.32866131,-2.965169788
67,-26.38782195,-3.247965185
68,-26.44967507,-3.531070305
69,-26.51402178,-3.814574222
70,-26.58067417,-4.097843368
71,-26.64939545,-4.380535005
72,-26.72015103,-4.662358783
73,-26.79272226,-4.943094335
74,-26.86697564,-5.222602401
75,-26.94279571,-5.500836702
76,-27.02008313,-5.777854229
77,-27.09875719,-6.053823774
78,-27.17864259,-6.329029556
79,-27.25989662,-6.603875089
80,-27.34239356,-6.878880492
81,-27.42611767,-7.154679903
82,-27.51106712,-7.432014173
83,-27.59725035,-7.711722716
84,-27.68468484,-7.994733515
85,-27.77339389,-8.28205021
86,-27.8634039,-8.574740007
87,-27.95474192,-8.873923417
88,-28.04743205,-9.18076017
89,-28.14149077,-9.496439599
90,-28.23692803,-9.822171915
91,-28.33373939,-10.15920066
92,-28.43190835,-10.50873154
93,-28.53139893,-10.87198512
94,-28.63216076,-11.25017293
95,-28.73412045,-11.64449401
96,-28.83718659,-12.05612807
97,-28.94124716,-12.48623118
98,-29.04617011,-12.93592768
99,-29.15180525,-13.40629862
100,-29.25787998,-13.89836971
