Freq [GHz],dB(GainTotal) [] - Phi='0deg' Theta='0deg'
34,53
34.1,53.1
34.2,53.1
34.3,53.2
34.4,53.2
34.5,53.3
34.6,53.3
34.7,53.4
34.8,53.4
34.9,53.4
35,53.5
35.1,53.5
35.2,53.5
35.3,53.6
35.4,53.6
35.5,53.7
35.6,53.7
35.7,53.8
35.8,53.8
35.9,53.8
36,53.8
