"Theta [deg]","dB(GainY) [] - Freq='35GHz' Phi='0deg'","dB(GainY) [] - Freq='35GHz' Phi='90deg'"
-0.2180025,50.05831985,50.05165814
-0.1868875,51.00293954,50.99803154
-0.1557725,51.78350207,51.78008197
-0.1246575,52.41017209,52.40797312
-0.0935425,52.89050257,52.88925691
-0.0624275,53.2299451,53.22938406
-0.0313125,53.43218619,53.43204049
-0.0001975,53.49935974,53.49935974
0.0309175,53.43216451,53.43204049
0.0620325,53.22990165,53.22938406
0.0931475,52.89043721,52.88925691
0.1242625,52.41008457,52.40797312
0.1553775,51.78339204,51.78008197
0.1864925,51.00280652,50.99803154
0.2176075,50.05816316,50.05165814
0.2487225,48.93591635,48.92741663
0.2798375,47.61796659,47.60720564
0.3109525,46.07982597,46.06652873
0.3420675,44.28765018,44.27151553
0.3731825,42.19323539,42.17388896
0.4042975,39.7252084,39.70206791
0.4354125,36.7730428,36.74489153
0.4665275,33.15990147,33.12330821
0.4976425,28.63183675,28.57405321
0.5287575,23.36161561,23.23116336
0.5598725,21.13906466,20.93313488
0.5909875,22.94723736,22.79517531
0.6221025,24.229177,24.10550769
0.6532175,24.35518018,24.23682536
0.6843325,23.4412218,23.31249748
0.7154475,21.44868925,21.28247532
0.7465625,18.04390857,17.73865411
0.7776775,12.4976782,11.3188651
0.8087925,9.875655907,6.594296886
0.8399075,15.13484032,14.09524013
0.8710225,18.4862145,17.88539792
0.9021375,20.25362168,19.77582031
0.9332525,20.99674827,20.55530758
0.9643675,20.94995032,20.5044164
0.9954825,20.18502429,19.70195832
1.0265975,18.66117458,18.09033025
1.0577125,16.21503127,15.43482761
1.0888275,12.56521221,11.13563844
1.1199425,8.424516276,4.624970824
1.1510575,9.431232386,6.74329493
1.1821725,12.97505562,11.73749678
1.2132875,15.36167922,14.48319025
1.2444025,16.67834725,15.89655064
1.2755175,17.18009915,16.40310586
1.3066325,16.99111066,16.16608381
1.3377475,16.13620664,15.20946203
1.3688625,14.55132927,13.43265274
1.3999775,12.06443798,10.53088822
1.4310925,8.432523202,5.681663719
1.4622075,4.682641575,-2.000000178
1.4933225,6.050266418,2.856394036
1.5244375,9.43702263,7.909047193
1.5555525,11.73839384,10.54172212
1.5866675,13.03438734,11.87982647
1.6177825,13.552951,12.3390695
1.6488975,13.40861487,12.07317357
1.6800125,12.6252766,11.10130182
1.7111275,11.14185275,9.319391333
1.7422425,8.779631177,6.407662083
1.7733575,5.161931766,1.379519589
1.8044725,0.111108436,-12.11158146
1.8355875,-0.344967711,-4.274180772
1.8667025,3.990379385,2.547731215
1.8978175,6.922572447,5.568544073
1.9289325,8.599137772,7.078864205
1.9600475,9.407390061,7.664668765
1.9911625,9.537096211,7.545684972
2.0222775,9.062307531,6.803947878
2.0533925,7.975806227,5.447441335
2.0845075,6.179719866,3.436013851
2.1156225,3.410210393,0.739102276
2.1467375,-1.066967442,-2.326207386
2.1778525,-10.39351641,-4.053584999
2.2089675,-10.31733757,-3.068135469
2.2400825,-2.139115501,-1.325960566
2.2711975,1.457378671,0.014097509
2.3023125,3.447612893,0.903872248
2.3334275,4.563989077,1.508343401
2.3645425,5.091076606,1.972162815
2.3956575,5.156522434,2.356250973
2.4267725,4.807426916,2.626713452
2.4578875,4.029582564,2.683577963
2.4890025,2.737971917,2.394011867
