"Freq [GHz]","dB(AxialRatioValue) [] - Phi='0deg' Theta='0deg'"
1.8,5.60228060654975
1.9,3.65052498470407
2,2.77842182839717
2.1,2.27940892860634
2.2,1.92887460832751
2.3,1.65912541060187
2.4,1.44926444797367
2.5,1.28999663287799
2.6,1.17075800753587
2.7,1.08296053618992
2.8,1.04635066090207
2.9,1.14089926640927
3,1.45258788608438
3.1,1.93933060491117
3.2,2.40798738644785
3.3,2.57487844662798
3.4,2.12377799623524
