theta,phi=0бу,phi=90бу
12,14.46106471,14.45101092
13,13.00617944,13.00505809
14,11.44274078,11.44968039
15,9.801063559,9.8091014
16,8.137065981,8.127255081
17,6.537588301,6.473004173
18,5.1077059,4.934972119
19,3.927745899,3.595464538
20,3.001432925,2.48933875
21,2.247640898,1.581358596
22,1.545235002,0.786609418
23,0.78164746,0.012340364
24,-0.127768041,-0.81324131
25,-1.242329386,-1.732775398
26,-2.603736812,-2.761626138
27,-4.237606721,-3.890393553
28,-6.136676441,-5.084851749
29,-8.198926508,-6.285423778
30,-10.09076741,-7.413212189
31,-11.20672107,-8.391218053
32,-11.23371626,-9.178307117
33,-10.61674051,-9.792412745
34,-9.92115682,-10.30064317
35,-9.414925525,-10.78687769
36,-9.170273234,-11.32478679
37,-9.187567259,-11.96783875
38,-9.447459541,-12.75043943
39,-9.927751125,-13.69157681
40,-10.60781548,-14.79553647
41,-11.46892308,-16.04600138
42,-12.49314245,-17.38962428
43,-13.661594,-18.70837817
44,-14.95226533,-19.80253039
45,-16.33760209,-20.45181521
46,-17.78254193,-20.57747119
47,-19.24454557,-20.31843149
48,-20.67800963,-19.90107226
49,-22.04466594,-19.49945138
50,-23.32756347,-19.2079002
51,-24.54117718,-19.06743902
52,-25.73084369,-19.0922039
53,-26.96271663,-19.28487268
54,-28.31148819,-19.64426492
55,-29.84934473,-20.16884371
56,-31.62557406,-20.8582578
57,-33.59194596,-21.71390715
58,-35.36500147,-22.73882304
59,-35.98681562,-23.93659006
60,-34.95486454,-25.30820452
61,-33.13529155,-26.84407474
62,-31.32326046,-28.5051343
63,-29.7628662,-30.18420706
64,-28.47343805,-31.65464303
65,-27.42184421,-32.59321596
66,-26.5702737,-32.80827514
67,-25.88641737,-32.44732326
68,-25.34431187,-31.82407898
69,-24.92323072,-31.17044477
70,-24.606431,-30.59432523
71,-24.38013378,-30.12905525
72,-24.23276229,-29.77453969
73,-24.15438794,-29.51793394
74,-24.13633028,-29.34254481
75,-24.1708688,-29.23146185
76,-24.2510355,-29.16903356
77,-24.37046638,-29.14149919
78,-24.52329614,-29.13728697
79,-24.70408484,-29.14715193
80,-24.90776811,-29.16419127
81,-25.12962445,-29.18373501
82,-25.36525503,-29.20311278
83,-25.61057187,-29.22131854
84,-25.86179202,-29.23861407
85,-26.11543566,-29.25612024
86,-26.36832734,-29.27544009
87,-26.61760002,-29.29834331
88,-26.86070233,-29.32652491
89,-27.09540941,-29.36143577
90,-27.31983771,-29.40417305
91,-27.53246299,-29.45541361
92,-27.73213978,-29.51537232
93,-27.91811872,-29.58376872
94,-28.09005629,-29.65978786
95,-28.24801015,-29.74202412
96,-28.39241201,-29.82840099
97,-28.52400955,-29.91606525
98,-28.64377017,-30.00126235
99,-28.75274058,-30.07921288
100,-28.85185967,-30.14402755
101,-28.94172675,-30.18872011
102,-29.02233412,-30.20539592
103,-29.09278406,-30.18569668
104,-29.15102679,-30.12154973
105,-29.19367777,-30.00618929
106,-29.21599815,-29.83529662
107,-29.21213868,-29.6079943
108,-29.17573724,-29.32740131
109,-29.10089732,-29.00055698
110,-28.98345053,-28.637723
111,-28.82225077,-28.25126858
112,-28.62014302,-27.85443372
113,-28.38428674,-27.46022665
114,-28.12571087,-27.08059486
115,-27.85823982,-26.72588881
116,-27.59710961,-26.40455937
117,-27.35760794,-26.12300023
118,-27.15395165,-25.88545246
119,-26.99845422,-25.69391192
120,-26.90091173,-25.54801356
121,-26.86807665,-25.44490605
122,-26.90308844,-25.37917917
123,-27.00478018,-25.34296475
124,-27.16688929,-25.32638596
125,-27.37739455,-25.31854595
126,-27.61848739,-25.30916831
127,-27.86796369,-25.29078596
128,-28.10277004,-25.26106536
129,-28.30460082,-25.22462496
130,-28.46582124,-25.19378288
131,-28.59276425,-25.18809867
132,-28.70425684,-25.23312266
133,-28.82590385,-25.35910289
134,-28.98279126,-25.60040871
135,-29.1931522,-25.99629169
136,-29.4639826,-26.59363372
137,-29.78827592,-27.45288642
138,-30.14311733,-28.66014261
139,-30.48808704,-30.35321211
140,-30.76425665,-32.78490984
141,-30.89643618,-36.49590014
142,-30.80542603,-42.47680378
143,-30.43643888,-42.60615507
144,-29.79324163,-36.25205429
145,-28.9480309,-32.14185845
146,-28.01395042,-29.28462376
147,-27.10554218,-27.10749788
148,-26.31503412,-25.34672104
149,-25.70729547,-23.87050824
150,-25.32267933,-22.61371984
151,-25.17796284,-21.54866236
152,-25.2586092,-20.66864325
153,-25.49696575,-19.97735997
154,-25.74054051,-19.48169758
155,-25.75594104,-19.18622699
156,-25.35525534,-19.08727673
157,-24.57692043,-19.16360256
158,-23.65749001,-19.36003097
159,-22.84114374,-19.56371171
160,-22.28018795,-19.59087291
161,-22.03305136,-19.23604121
162,-22.05626244,-18.40351153
163,-22.12973225,-17.18345733
164,-21.77135402,-15.76008175
165,-20.51029412,-14.28797846
166,-18.47691866,-12.85534424
167,-16.19302903,-11.50168953
168,-14.01059522,-10.24131456
169,-12.05310404,-9.078022853
170,-10.3363915,-8.01219224
171,-8.84143617,-7.04353832
172,-7.542813688,-6.171893562
173,-6.418405651,-5.39725439
174,-5.452165564,-4.719668681
175,-4.634197038,-4.139167265
176,-3.959696923,-3.655771317
177,-3.427466764,-3.269547754
178,-3.038409104,-2.980679978
179,-2.794266623,-2.789536229
180,-2.696733658,-2.696733658
