"Theta [deg]","dB(GainTotal) [] - Freq='10GHz' Phi='0deg'","dB(GainTotal) [] - Freq='10GHz' Phi='90deg'"
-123,-36.4113150393997,-25.8902698384076
-122,-35.0611986779313,-26.264821893252
-121,-33.9630351473883,-26.6949919664796
-120,-33.0943493283698,-27.1732041203406
-119,-32.4211681611481,-27.6894194655682
-118,-31.9107392539455,-28.2311540061029
-117,-31.5339651863819,-28.7836188672287
-116,-31.2651991586385,-29.330109646218
-115,-31.0815776839438,-29.8527755095251
-114,-30.9624861142272,-30.3338392881277
-113,-30.8892912772084,-30.7571953008803
-112,-30.845328975227,-31.1101094021429
-111,-30.8160731082194,-31.3845869115887
-110,-30.789378900141,-31.5779893012122
-109,-30.7556801572063,-31.6927157714198
-108,-30.7080376164003,-31.7351061352419
-107,-30.6419830270952,-31.7139654663595
-106,-30.5551673600621,-31.639138729476
-105,-30.4468774347833,-31.5204158592429
-104,-30.3175132315491,-31.3668532012821
-103,-30.1681129612937,-31.1864574814774
-102,-29.9999843157259,-30.9861214491737
-101,-29.8144643229205,-30.7717034824822
-100,-29.6128001098632,-30.5481727709786
-99,-29.3961246785007,-30.3197734331416
-98,-29.1654953154077,-30.090184769308
-97,-28.9219640792911,-29.8626692770376
-96,-28.6666560651457,-29.6402072584927
-95,-28.4008388279101,-29.4256196655184
-94,-28.1259736193929,-29.2216814888759
-93,-27.843745035611,-29.031227900056
-92,-27.556069973831,-28.8572552293456
-91,-27.2650894937678,-28.7030190257124
-90,-26.9731484895666,-28.5721319855092
-89,-26.6827683252445,-28.4686654577232
-88,-26.396617109666,-28.3972595081683
-87,-26.117481408173,-28.3632481251136
-86,-25.8482421694932,-28.3728080169237
-85,-25.5918566765316,-28.4331413899494
-84,-25.3513475203914,-28.5527044466582
-83,-25.1297989959766,-28.7414921460103
-82,-24.9303609241328,-29.0113804473305
-81,-24.7562596870808,-29.3764942796304
-80,-24.6108161685981,-29.8534693147888
-79,-24.4974702501899,-30.4611843524313
-78,-24.4198114403511,-31.218701263886
-77,-24.3816149758055,-32.1377491021757
-76,-24.3868821172211,-33.1996494905159
-75,-24.4398819847674,-34.2938861705023
-74,-24.5451894254767,-35.1045157308193
-73,-24.7077077032149,-35.1109418475651
-72,-24.9326535880872,-34.0676813694791
-71,-25.2254604814937,-32.3535043838936
-70,-25.5915123740122,-30.4657985065738
-69,-26.035538265839,-28.6632983973873
