"Theta [deg]","dB(GainY) [] - Freq='20.5GHz' Phi='0deg'","dB(GainY) [] - Freq='20.5GHz' Phi='90deg'"
106,-44.6968193265475,-35.7988541413726
107,-45.2354127612745,-35.0413815257803
108,-45.8132447282523,-34.3064231709663
109,-46.4347080431579,-33.5921815489652
110,-47.1050178270336,-32.8973068124361
111,-47.8304430478809,-32.2207889001592
112,-48.618625437403,-31.5618752367296
113,-49.4790267009747,-30.9200076852455
114,-50.4235676553874,-30.2947741797419
115,-51.4675594485428,-29.6858716630947
116,-52.63108431385,-29.0930777917811
117,-53.9410642310526,-28.5162294669992
118,-55.4343231319716,-27.9552066905332
119,-57.1617342045797,-27.4099205730151
120,-59.1915333005848,-26.8803045739324
121,-61.5975910480142,-26.3663082480412
122,-64.3496289241641,-25.8678929260924
123,-66.7661513411295,-25.3850288789727
124,-66.9578284068141,-24.9176936106809
125,-64.9649219987647,-24.465871002305
126,-62.6685659891167,-24.0295510903938
127,-60.7243401875068,-23.6087303119492
128,-59.1574386625862,-23.2034120871985
129,-57.8943076721543,-22.813607642319
130,-56.8678057510311,-22.439336998996
131,-56.0281496055025,-22.0806300773851
132,-55.3395131878614,-21.7375278748007
133,-54.7758996449745,-21.410083695103
134,-54.3181049374841,-21.0983644140243
135,-53.9516670725295,-20.8024517741283
136,-53.6654951634907,-20.5224437101983
137,-53.4509412762696,-20.258455712003
138,-53.3011582737277,-20.0106222369055
139,-53.2106432995194,-19.7790981899605
140,-53.1749022541101,-19.5640604942248
141,-53.1901925433529,-19.3657097792459
142,-53.2533146943461,-19.1842722213189
143,-53.3614314100797,-19.0200015753788
144,-53.5118972776869,-18.8731814456165
145,-53.7020849281909,-18.7441278504043
146,-53.9291949056106,-18.6331921473276
147,-54.1900377609666,-18.5407643965556
148,-54.4807791617465,-18.4672772561348
149,-54.7966439585095,-18.4132105219313
150,-55.1315859714628,-18.3790964490422
151,-55.4779504286387,-18.3655260220908
152,-55.8261889267759,-18.3731563809957
153,-56.1647321789801,-18.4027196593885
154,-56.4801726985695,-18.4550335587331
155,-56.7579278965209,-18.5310140677759
156,-56.9834944382504,-18.6316908518108
157,-57.1442244634984,-18.7582259901692
158,-57.2312773343102,-18.9119369489154
159,-57.2411668846069,-19.0943249616753
160,-57.1763343369093,-19.3071103886581
161,-57.0445108705585,-19.5522771832286
162,-56.8571176851617,-19.8321293952455
163,-56.6272781774773,-20.149363803664
164,-56.3680190515402,-20.5071644943778
165,-56.0909999818841,-20.9093278056881
166,-55.8058358359927,-21.3604300965334
167,-55.5198984841162,-21.8660571939338
168,-55.2384282510701,-22.433124834422
169,-54.9648046024869,-23.070337069951
170,-54.7008725632522,-23.7888605563021
171,-54.4472660745261,-24.603349302176
172,-54.2037013574028,-25.5335636324139
173,-53.9692321584901,-26.6070506908873
174,-53.7424679339326,-27.8638467725417
175,-53.5217592455689,-29.3653532970517
176,-53.3053546854879,-31.2127776248099
177,-53.0915323593119,-33.5908306809398
178,-52.8787074728358,-36.8931856884735
179,-52.6655165136114,-42.208674367247
180,-52.4508781782217,-52.4508781782226
