Name,Value,Unit
Radiation_Patch_a,4.4,mm
Sub_z1,2,mm
Sub_z2,1.3,mm
Feed_Slot_l,4.3,mm
Feed_Slot_w,0.2,mm
Feed_Branch_l,0.8,mm
Feed_mircostrip_w,0.625,mm
Feed_a,14.4,mm
Feed_b,11.4,mm
